Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 6 High template"
LRP1B,low density lipoprotein-related protein 1B,XM_001117994,MmugDNA.19908.1.S1_at,LRP1B,0.72440021
LOC710951,similar to T-cell receptor alpha chain C region,XM_001098834,MmugDNA.19728.1.S1_at,TRA@,0.722614924
FILIP1L,filamin A interacting protein 1-like,XM_001090550,MmugDNA.29093.1.S1_at,FILIP1L,0.714974386
LOC700867,similar to odd Oz/ten-m homolog 3,XM_001091531,MmugDNA.5183.1.S1_at,ODZ3,0.712495465
TLE4,"transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",XM_001103194,MmugDNA.8746.1.S1_at,TLE4,0.711883775
LRRTM2,leucine rich repeat transmembrane neuronal 2,XM_001114014,MmugDNA.8589.1.S1_at,LRRTM2,0.711735276
LOC704143,hypothetical protein LOC704143,XM_001102160,MmugDNA.30745.1.S1_at,,0.711634541
MmugDNA.23895.1.S1_at,gDNA.Hs.55069.0.S2  FEA=U133PSR  GEN=NXPH3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228210_at neurexophilin 3  REP_ORG=M. mulatta,gDNA.Hs.55069.0,MmugDNA.23895.1.S1_at,NXPH3,0.709577419
IL12RB2,"interleukin 12 receptor, beta 2",XM_001094235,MmugDNA.20333.1.S1_at,IL12RB2,0.707945852
LOC716169,hypothetical protein LOC716169,XR_014288,MmugDNA.35954.1.S1_at,SHB,0.707380273
MmugDNA.36889.1.S1_at,gDNA.Hs.7033.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230593_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.7033.0,MmugDNA.36889.1.S1_at,,0.703963913
RXFP1,relaxin/insulin-like family peptide receptor 1,XM_001096461,MmugDNA.15931.1.S1_at,LGR7,0.698926573
MmugDNA.8776.1.S1_at,gDNA.Hs.122142.0.A1  FEA=U133PSR  GEN=C21orf106  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227199_at Chromosome 21 open reading frame 106  REP_ORG=M. mulatta,gDNA.Hs.122142.0,MmugDNA.8776.1.S1_at,C21orf106,0.697193334
RXFP1,relaxin/insulin-like family peptide receptor 1,XM_001096461,MmugDNA.12214.1.S1_at,LGR7,0.696010571
MmugDNA.21448.1.S1_at,"gDNA.Hs.153717.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235666_at Transcribed locus, moderately similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]  REP_ORG=M. mulatta",gDNA.Hs.153717.0,MmugDNA.21448.1.S1_at,,0.695332146
MCTP1,"multiple C2 domains, transmembrane 1",XM_001091766,MmugDNA.30331.1.S1_at,MCTP1,0.690809215
LOC710951,similar to T-cell receptor alpha chain C region,XM_001098834,MmugDNA.19728.1.S1_x_at,TRA@,0.689647967
GDF6,growth differentiation factor 6,XM_001090825,MmunewRS.752.1.S1_at,GDF6,0.689355256
LOC719299,similar to arrestin domain containing 2 isoform 2,XM_001114008,MmugDNA.25626.1.S1_at,ARRDC2,0.688129232
HS3ST6,heparan sulfate (glucosamine) 3-O-sulfotransferase 6,XM_001082139,MmuSTS.4580.1.S1_at,HS3ST6,0.686065488
MmugDNA.23149.1.S1_at,gDNA.Hs.62183.0.A1  FEA=U133PSR  GEN=MOBP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235794_at myelin-associated oligodendrocyte basic protein  REP_ORG=M. mulatta,CN643709,MmugDNA.23149.1.S1_at,MOBP,0.685261101
NFIA,nuclear factor I/A,XM_001084007,MmuSTS.1783.1.S1_at,NFIA,0.684446883
LOC717848,"similar to myosin, heavy polypeptide 13, skeletal muscle",XM_001113674,MmugDNA.23588.1.S1_at,MYH13,0.683318249
LOC720141,similar to zinc finger protein 347,XM_001116744,MmugDNA.6237.1.S1_at,ZNF347,0.682576763
RXFP1,relaxin/insulin-like family peptide receptor 1,XM_001096574,MmugDNA.30894.1.S1_at,LGR7,0.68044623
LOC717265,similar to myelin-associated oligodendrocyte basic protein isoform c,XM_001115724,MmugDNA.15597.1.S1_s_at,MOBP,0.679727371
LOC701357,similar to slit homolog 1,XM_001097017,MmugDNA.9822.1.S1_at,KIAA1465,0.677282647
LOC716169,"gi:60301434  DEF=SHB_8624 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA8624, sequence tagged site  REP_ORG=M. mulatta",NP_001028478,MmuSTS.3982.1.S1_at,SHB,0.676550164
LOC709577,similar to cystine knot-containing secreted protein,XM_001105428,MmugDNA.14644.1.S1_at,SOSTDC1,0.676019696
LOC708263,similar to semaphorin 3A,XM_001096722,MmugDNA.23091.1.S1_at,SEMA3A,0.670497333
LOC718616,hypothetical protein LOC718616,XR_013961,MmuSTS.1124.1.S1_at,SMURF1,0.670406825
MmugDNA.18153.1.S1_at,gDNA.g662277  FEA=U133PSR  GEN=MOBP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 210193_at myelin-associated oligodendrocyte basic protein  REP_ORG=M. mulatta,gDNA,MmugDNA.18153.1.S1_at,MOBP,0.670342849
MmugDNA.42400.1.S1_at,gDNA.Hs.26133.0.A1  FEA=U133PSR  GEN=LOC285281  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241717_at hypothetical protein LOC285281  REP_ORG=M. mulatta,CN646117,MmugDNA.42400.1.S1_at,LOC285281,0.670094343
PTX3,"pentraxin-related gene, rapidly induced by IL-1 beta",XM_001103515,MmuSTS.3742.1.S1_at,PTX3,0.670001019
Mmu.2276.1.S1_at,gb:CO645122  DB_XREF=gi:50566616  DB_XREF=ILLUMIGEN_MCQ_8291  CLONE=IBIUW:23018  TID=Mmu.2276.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CO645122,Mmu.2276.1.S1_at,,0.669727628
LOC711575,hypothetical protein LOC711575,XR_013197,MmugDNA.13302.1.S1_at,C6orf190,0.669628508
GADD45A,"growth arrest and DNA-damage-inducible, alpha",XM_001095295,MmuSTS.4816.1.S1_at,GADD45A,0.668495202
GLCE,glucuronic acid epimerase,XM_001085618,MmugDNA.3502.1.S1_at,GLCE,0.667179297
LOC708263,similar to semaphorin 3A,XM_001096722,MmuSTS.3254.1.S1_at,SEMA3A,0.661517202
ANP32B,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",XM_001113673,MmuSTS.3801.1.S1_at,ANP32B,0.660365717
TRAK2,"trafficking protein, kinesin binding 2",XM_001098295,MmugDNA.16319.1.S1_at,TRAK2,0.660170568
ITGA8,"integrin, alpha 8",XM_001089317,MmugDNA.12745.1.S1_at,ITGA8,0.656962399
MmugDNA.35944.1.S1_at,"gDNA.Hs.106795.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229944_at CDNA FLJ13136 fis, clone NT2RP3003139  REP_ORG=M. mulatta",gDNA.Hs.106795.0,MmugDNA.35944.1.S1_at,,0.65637101
LOC717627,similar to EF-hand domain-containing protein 1 (Swiprosin-2),XM_001109340,MmugDNA.19961.1.S1_at,EFHD1,0.656074179
MmugDNA.38063.1.S1_at,gDNA.Hs.43410.0.A1  FEA=U133PSR  GEN=SDK2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242064_at Sidekick homolog 2 (chicken)  REP_ORG=M. mulatta,gDNA.Hs.43410.0,MmugDNA.38063.1.S1_at,SDK2,0.655297611
MmugDNA.8585.1.S1_at,gDNA.Hs.151489.0.A1  FEA=U133PSR  GEN=MCTP1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235740_at Multiple C2-domains with two transmembrane regions 1  REP_ORG=M. mulatta,gDNA.Hs.151489.0,MmugDNA.8585.1.S1_at,MCTP1,0.655083644
LOC707714,similar to folate hydrolase 1 isoform 1,XM_001096141,MmuSTS.947.1.S1_at,FOLH1,0.652616692
GAB2,GRB2-associated binding protein 2,XM_001093917,MmugDNA.15263.1.S1_at,GAB2,0.652327825
LOC719943,similar to alpha 3 type IX collagen,XM_001114798,MmuSTS.3936.1.S1_at,COL9A3,0.652108073
ITGB8,"integrin, beta 8",XM_001103130,MmugDNA.2303.1.S1_at,,0.650522631
MmugDNA.27982.1.S1_at,"gDNA.Hs.99083.0.A1  FEA=U133PSR  GEN=EDG7  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231192_at Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 7  REP_ORG=M. mulatta",gDNA.Hs.99083.0,MmugDNA.27982.1.S1_at,EDG7,0.648946985
ASPA,aspartoacylase,XM_001089043,MmugDNA.17992.1.S1_at,ASPA,0.648526443
LOC710403,similar to fatty acid 2-hydroxylase,XM_001108607,MmugDNA.13861.1.S1_at,FA2H,0.647694287
MmugDNA.37222.1.S1_s_at,gDNA.Hs.153028.3.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 217200_x_at  REP_ORG=M. mulatta,CN643294,MmugDNA.37222.1.S1_s_at,,0.643803675
MmugDNA.37021.1.S1_at,gDNA.Hs.180059.0.S1  FEA=U133PSR  GEN=CDK6  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 224851_at cyclin-dependent kinase 6  REP_ORG=M. mulatta,gDNA.Hs.180059.0,MmugDNA.37021.1.S1_at,CDK6,0.642582493
LOC698172,similar to A-kinase anchor protein 13 isoform 1,XM_001086697,MmugDNA.5939.1.S1_at,,0.642552163
MmugDNA.37022.1.S1_at,gDNA.Hs.180059.0.S3  FEA=U133PSR  GEN=CDK6  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 224847_at cyclin-dependent kinase 6  REP_ORG=M. mulatta,gDNA.Hs.180059.0,MmugDNA.37022.1.S1_at,CDK6,0.640813411
MmugDNA.39191.1.S1_at,"gDNA.Hs.187578.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 232203_at CDNA FLJ13722 fis, clone PLACE2000455  REP_ORG=M. mulatta",gDNA.Hs.187578.0,MmugDNA.39191.1.S1_at,,0.639641101
MICAL-L1,molecule interacting with Rab13,XM_001090486,MmugDNA.11419.1.S1_at,MICAL-L1,0.638517921
CMTM5,similar to CKLF-like MARVEL transmembrane domain-containing protein 5 (Chemokine-like factor superfamily member 5),XR_013478,MmugDNA.23718.1.S1_at,CKLFSF5,0.637209717
PDLIM3,PDZ and LIM domain 3,XM_001085734,MmugDNA.18347.1.S1_at,PDLIM3,0.635764357
MmunewRS.1070.1.S1_at,"newRS.gi:37182889  NOTE=Orthologous to Human RefSeq terminal exon  DEF=Orthologous to gi:37182889 Homo sapiens clone DNA73492 ADAMTS4 (UNQ769) mRNA, complete cds.  PROD=ADAMTS4  REP_ORG=M. mulatta",37182889,MmunewRS.1070.1.S1_at,,0.634959095
LOC714264,similar to coiled-coil domain containing 21,XM_001108741,MmugDNA.20389.1.S1_at,DKFZP434L0117,0.633210683
MmugDNA.35567.1.S1_at,gDNA.Hs.164214.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242680_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.164214.0,MmugDNA.35567.1.S1_at,,0.632220637
COL4A5,"collagen, type IV, alpha 5",XM_001098546,MmuSTS.3929.1.S1_at,COL4A5,0.631728174
MAL,"mal, T-cell differentiation protein",XM_001095645,MmuSTS.852.1.S1_at,MAL,0.630311219
LOC718259,similar to neuronal pentraxin I precursor,XM_001110666,MmugDNA.43195.1.S1_s_at,NPTX1,0.630147522
ERBB3,v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian),XM_001113794,MmugDNA.10912.1.S1_at,ERBB3,0.629934997
MmugDNA.7738.1.S1_at,gDNA.Hs.161332.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242964_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.161332.0,MmugDNA.7738.1.S1_at,,0.629663185
RASGRP1,RAS guanyl releasing protein 1 (calcium and DAG-regulated),XM_001092164,MmugDNA.43254.1.S1_at,RASGRP1,0.629176965
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",XM_001088227,MmuSTS.809.1.S1_at,ASAP2,0.628572934
LOC696896,"similar to CG9328-PA, isoform A",XM_001088101,MmugDNA.8506.1.S1_at,C10orf45,0.627597742
LOC707332,"similar to solute carrier family 35, member F2",XM_001103271,MmugDNA.32373.1.S1_at,SOX5,0.624541393
TXNIP,thioredoxin interacting protein,XM_001092409,MmugDNA.40204.1.S1_at,TXNIP,0.623839431
LOC718259,similar to neuronal pentraxin I precursor,XM_001110666,MmugDNA.43195.1.S1_at,NPTX1,0.623180995
LOC712485,hypothetical protein LOC712485,XM_001106739,MmugDNA.5473.1.S1_at,KIAA1394,0.622218622
MGST1,microsomal glutathione S-transferase 1,XM_001093321,MmugDNA.13450.1.S1_at,MGST1,0.621712652
MmugDNA.9336.1.S1_at,"gDNA.g12053372  FEA=U133PSR  GEN=ELOVL5  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 208788_at ELOVL family member 5, elongation of long chain fatty acids (FEN1 Elo2, SUR4 Elo3-like, yeast)  REP_ORG=M. mulatta",CO725461,MmugDNA.9336.1.S1_at,ELOVL5,0.620879633
CNP,"gDNA.g12655028  FEA=U133PSR  GEN=CNP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 208912_s_at 2 ,3 -cyclic nucleotide 3  phosphodiesterase  REP_ORG=M. mulatta",gDNA,MmugDNA.9176.1.S1_at,CNP,0.620615638
MmugDNA.2101.1.S1_at,gDNA.g7415720  FEA=U133PSR  GEN=SCD  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 200832_s_at stearoyl-CoA desaturase (delta-9-desaturase)  REP_ORG=M. mulatta,CN643294,MmugDNA.2101.1.S1_at,SCD,0.620552269
RASL11B,"RAS-like, family 11, member B",XM_001089688,MmugDNA.26219.1.S1_at,RASL11B,0.619350957
DIP2A,DIP2-like protein,XR_014651,MmugDNA.9001.1.S1_at,C21orf106,0.619111287
MmugDNA.42204.1.S1_at,gDNA.Hs.21375.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 236576_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.21375.0,MmugDNA.42204.1.S1_at,,0.617399656
LOC714868,similar to SH3 multiple domains 1,XM_001113943,MmugDNA.42705.1.S1_at,SH3MD1,0.616491501
MmugDNA.16239.1.S1_s_at,gDNA.Hs.47094.0.A1  FEA=U133PSR  GEN=LOC283508  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227415_at hypothetical protein LOC283508  REP_ORG=M. mulatta,gDNA.Hs.47094.0,MmugDNA.16239.1.S1_s_at,LOC283508,0.615777872
CD9,CD9 molecule,XM_001102751,Mmu.7236.1.S1_s_at,CD9,0.615469348
CNTNAP4,contactin associated protein-like 4,XM_001104635,MmugDNA.2777.1.S1_at,CNTNAP4,0.614246246
GLIPR2,GLI pathogenesis-related 2,XM_001082438,MmugDNA.5610.1.S1_at,GLIPR2,0.613989067
MmugDNA.16239.1.S1_at,gDNA.Hs.47094.0.A1  FEA=U133PSR  GEN=LOC283508  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227415_at hypothetical protein LOC283508  REP_ORG=M. mulatta,gDNA.Hs.47094.0,MmugDNA.16239.1.S1_at,LOC283508,0.613761463
LOC702319,hypothetical protein LOC702319,XR_011002,MmugDNA.2266.1.S1_at,SOX10,0.613132106
GPR37,G protein-coupled receptor 37,XM_001087229,MmuSTS.2458.1.S1_at,GPR37,0.612987093
CLDN11,claudin 11,XM_001089174,MmugDNA.33172.1.S1_at,CLDN11,0.6124249
LOC714965,"similar to solute carrier family 35, member F1",XM_001110621,MmugDNA.34701.1.S1_at,SLC35F1,0.612358442
SLC45A3,similar to prostein,XM_001092519,MmugDNA.32004.1.S1_at,SLC45A3,0.611571805
GPD2,glycerol-3-phosphate dehydrogenase 2 (mitochondrial),XM_001086842,MmugDNA.5117.1.S1_s_at,GPD2,0.610153245
CA14,carbonic anhydrase XIV,XM_001099083,MmuSTS.2665.1.S1_at,CA14,0.6093512
HN1L,hematological and neurological expressed 1-like,XM_001089979,MmugDNA.9193.1.S1_at,HN1L,0.6090118
MmugDNA.25545.1.S1_at,gDNA.Hs.12482.3.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230958_s_at Full length insert cDNA clone ZD69D05  REP_ORG=M. mulatta,gDNA.Hs.12482.3,MmugDNA.25545.1.S1_at,,0.608824368
CLDND1,claudin domain containing 1,XM_001087328,MmugDNA.26365.1.S1_at,CLDND1,0.608082153
LOC718266,similar to Interleukin-18-binding protein precursor (IL-18BP) (Interferon gamma-inducing factor-binding protein),XM_001114371,MmuSTS.2540.1.S1_at,IL18BP,0.60503108
LOC709333,similar to carbohydrate (chondroitin 6) sulfotransferase 3,XM_001106464,MmugDNA.16210.1.S1_at,CHST3,0.604285815
ANLN,"anillin, actin binding protein",XM_001103356,MmugDNA.2951.1.S1_at,ANLN,0.602498404
LOC719523,"similar to protein phosphatase 1, regulatory (inhibitor) subunit 14A",XM_001113868,MmugDNA.13086.1.S1_s_at,PPP1R14A,0.601643543
MmugDNA.35098.1.S1_at,"gDNA.Hs2.379772.1.A1  FEA=U133PSR  GEN=CNP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1557943_at 2 ,3 -cyclic nucleotide 3  phosphodiesterase  REP_ORG=M. mulatta",gDNA.Hs2.379772.1,MmugDNA.35098.1.S1_at,CNP,0.600981278
MmuSTS.740.1.S1_at,"gi:47776785  DEF=JAM3_1398 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA1398, sequence tagged site.  GEN=JAM3  PROD=junctional adhesion molecule 3  REP_ORG=M. mulatta",47776785,MmuSTS.740.1.S1_at,JAM3,0.600678078
LOC713838,similar to embryonal Fyn-associated substrate isoform 2,XM_001107772,MmuSTS.2601.1.S1_at,EFS,0.600140793
LOC717265,similar to myelin-associated oligodendrocyte basic protein isoform c,XM_001115724,MmugDNA.407.1.S1_at,MOBP,0.599566558
WIPF1,"WAS/WASL interacting protein family, member 1",XM_001090641,MmugDNA.16555.1.S1_at,WIPF1,0.599183164
MmugDNA.18929.1.S1_at,gDNA.Hs.127196.0.S1  FEA=U133PSR  GEN=GPR155  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231166_at G protein-coupled receptor 155  REP_ORG=M. mulatta,gDNA.Hs.127196.0,MmugDNA.18929.1.S1_at,GPR155,0.59889164
TYMS,thymidylate synthetase,XM_001088931,MmuSTS.4685.1.S1_at,TYMS,0.59734582
LOC697560,Hypothetical protein LOC697560,CN642209,Mmu.13854.1.S1_at,KIAA1189,0.59733417
PDE8A,phosphodiesterase 8A,XM_001085852,MmugDNA.42615.1.S1_at,PDE8A,0.597304621
EPB41L4A,erythrocyte membrane protein band 4.1 like 4A,XM_001101426,MmugDNA.39338.1.S1_at,TIGA1,0.597088898
LOC700557,"similar to elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1",XM_001093537,MmugDNA.37605.1.S1_at,ELOVL1,0.596778881
LOC708030,similar to cellular modulator of immune recognition,XM_001102984,MmugDNA.22894.1.S1_at,MARCH8,0.595476557
GPR37,G protein-coupled receptor 37,XM_001087229,MmugDNA.23958.1.S1_at,GPR37,0.595342581
LOC705838,gDNA.Hs.5344.1.A1  FEA=U133PSR  GEN=CA12  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214164_x_at carbonic anhydrase XII  REP_ORG=M. mulatta,gDNA.Hs.5344.1,MmugDNA.12574.1.S1_s_at,CA12,0.594528196
LOC722211,hypothetical protein LOC722211,XR_014721,MmugDNA.21602.1.S1_at,SSB1,0.594054889
LOC718113,"similar to ras homolog gene family, member G",XM_001113619,MmuSTS.2852.1.S1_at,ARHG,0.593840054
LOC697560,hypothetical protein LOC697560,XM_001088029,MmugDNA.22871.1.S1_at,KIAA1189,0.593148041
GSN,gelsolin,XM_001091607,MmugDNA.16424.1.S1_at,GSN,0.590705735
TNFAIP6,"tumor necrosis factor, alpha-induced protein 6",XM_001083111,MmuSTS.4660.1.S1_at,TNFAIP6,0.590685621
MmuSTS.3518.1.S1_at,"gi:59676127  DEF=CNTN2_7885 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA7885, sequence tagged site  REP_ORG=M. mulatta",59676127,MmuSTS.3518.1.S1_at,CNTN2,0.590025815
SSTR2,somatostatin receptor 2,XM_001085574,MmugDNA.28733.1.S1_at,SSTR2,0.58909408
LOC709208,"similar to endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2",XM_001106182,MmugDNA.27284.1.S1_at,EDG2,0.588778055
LOC693505,similar to protein kinase N2,XR_009650,MmugDNA.40894.1.S1_at,PRKCL2,0.587277694
LOC697570,hypothetical protein LOC697570,XR_011021,MmugDNA.26480.1.S1_at,LOC349236,0.585194765
MmugDNA.17369.1.S1_at,gDNA.Hs.12449.0.A1  FEA=U133PSR  GEN=TMEM10  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239575_at transmembrane protein 10  REP_ORG=M. mulatta,gDNA.Hs.12449.0,MmugDNA.17369.1.S1_at,TMEM10,0.584880872
LOC693306,"similar to family with sequence similarity 46, member A",XM_001082391,MmugDNA.10435.1.S1_at,FAM46A,0.58446357
ANLN,"anillin, actin binding protein",XM_001103356,MmugDNA.2951.1.S1_s_at,ANLN,0.584302247
ZNF160,zinc finger protein 160,XM_001116703,MmugDNA.33395.1.S1_at,ZNF160,0.583910708
LRFN1,leucine rich repeat and fibronectin type III domain containing 1,XM_001087094,MmugDNA.11781.1.S1_at,C14orf139,0.583816744
MmugDNA.11068.1.S1_at,"gDNA.Hs.98927.0.S1  FEA=U133PSR  GEN=LMAN1L  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222927_s_at lectin, mannose-binding, 1 like  REP_ORG=M. mulatta",gDNA.Hs.98927.0,MmugDNA.11068.1.S1_at,LMAN1L,0.583713418
WIPF1,"WAS/WASL interacting protein family, member 1",XM_001090641,MmugDNA.16556.1.S1_at,WIPF1,0.582131435
LOC718749,similar to tripartite motif protein 17,XM_001111866,MmuSTS.4717.1.S1_at,TRIM43,0.581448206
