Primary Sequence Name,Sequence Description,Accession Number,Affy Probe ID,Gene Symbol,Correlation Coefficient to Layer 2 High template
SNAI2,snail homolog 2 (Drosophila),XM_001101435,MmuSTS.1125.1.S1_at,SNAI2,0.84197716
LOC695395,similar to hippocalcin-like 1,XM_001085564,MmugDNA.18775.1.S1_at,HPCAL1,0.838843078
PCDH8,protocadherin 8,XM_001084988,MmuSTS.3573.1.S1_at,PCDH8,0.837919834
LOC717153,similar to CCAAT/enhancer-binding protein alpha (C/EBP alpha),XM_001108401,MmuSTS.3401.1.S1_s_at,CEBPA,0.83357473
MmugDNA.24869.1.S1_at,gDNA.Hs.20982.0.A1  FEA=U133PSR  GEN=RGS8  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 244675_at regulator of G-protein signalling 8  REP_ORG=M. mulatta,gDNA.Hs.20982.0,MmugDNA.24869.1.S1_at,RGS8,0.829535112
MmugDNA.1315.1.S1_at,gDNA.Hs.288681.0.S1  FEA=U133PSR  GEN=LOC221981  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214920_at hypothetical protein LOC221981  REP_ORG=M. mulatta,gDNA.Hs.288681.0,MmugDNA.1315.1.S1_at,LOC221981,0.824626339
MmuSTS.2493.1.S1_at,"gi:49533256  DEF=GPR88_2022 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA2022, sequence tagged site.  GEN=GPR88  PROD=G protein-coupled receptor 88  REP_ORG=M. mulatta",CN803140,MmuSTS.2493.1.S1_at,GPR88,0.822197483
LOC710987,similar to mucolipin 3,XM_001108412,MmugDNA.42613.1.S1_at,MCOLN3,0.820552526
SP8,Sp8 transcription factor,XM_001102877,MmugDNA.42130.1.S1_at,SP8,0.817909552
MmugDNA.36883.1.S1_at,gDNA.g12751451  FEA=U133PSR  GEN=PDZK3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 209493_at PDZ domain containing 3  REP_ORG=M. mulatta,CN805174,MmugDNA.36883.1.S1_at,PDZK3,0.814606684
LOC708409,similar to Calretinin (CR),XR_013358,MmugDNA.29477.1.S1_at,CALB2,0.814303055
MEIS2,Meis homeobox 2,XM_001091176,MmuSTS.153.1.S1_at,MEIS2,0.810977128
MmugDNA.21675.1.S1_at,"gDNA.Hs2.382657.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1563182_at CDNA clone IMAGE:4796641, partial cds  REP_ORG=M. mulatta",gDNA.Hs2.382657.1,MmugDNA.21675.1.S1_at,,0.807582411
MmugDNA.16734.1.S1_at,gDNA.Hs.167791.2.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228913_at Full-length cDNA clone CS0DF027YC20 of Fetal brain of Homo sapiens (human)     LOC440135  REP_ORG=M. mulatta,gDNA.Hs.167791.2,MmugDNA.16734.1.S1_at,,0.803296769
LOC704185,hypothetical protein LOC704185,XR_011247,MmugDNA.23000.1.S1_at,MGC39325,0.802584898
NR2F2,"nuclear receptor subfamily 2, group F, member 2",XM_001099757,MmuSTS.3024.1.S1_at,NR2F2,0.801783566
ACVR1C,"activin A receptor, type IC",XM_001088578,MmugDNA.36827.1.S1_at,ACVR1C,0.798222007
NR2F2,"nuclear receptor subfamily 2, group F, member 2",XM_001099757,MmugDNA.39344.1.S1_at,NR2F2,0.796476818
SLC24A3,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3",XM_001090485,MmugDNA.16683.1.S1_at,SLC24A3,0.792945093
LOC705977,similar to echinoderm microtubule associated protein like 1 isoform b,XM_001103885,MmugDNA.26257.1.S1_at,EML1,0.78920613
LOC712076,similar to small inducible cytokine B14 precursor,XM_001110657,MmuSTS.1894.1.S1_at,CXCL14,0.7889427
LRRTM4,leucine rich repeat transmembrane neuronal 4,XM_001112214,MmuSTS.4543.1.S1_at,LRRTM4,0.788926978
LOC717153,similar to CCAAT/enhancer-binding protein alpha (C/EBP alpha),XM_001108401,MmunewRS.760.1.S1_at,CEBPA,0.788138288
TMEM40,transmembrane protein 40,XM_001084997,MmugDNA.21914.1.S1_at,FLJ44635,0.787947213
LOC719629,similar to Ras-related protein Rab-40B (SOCS box-containing protein RAR) (Rar protein),XR_014235,MmuSTS.3079.1.S1_at,RAB40B,0.787528168
DNAJC27,"DnaJ (Hsp40) homolog, subfamily C, member 27",XM_001082609,MmugDNA.35775.1.S1_at,DNAJC27,0.786034935
MmugDNA.35141.1.S1_at,gDNA.g11056013  FEA=U133PSR  GEN=AFAP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 203563_at actin filament associated protein  REP_ORG=M. mulatta,gDNA,MmugDNA.35141.1.S1_at,AFAP,0.785114171
DNM1L,dynamin 1-like,XM_001086009,MmugDNA.8308.1.S1_x_at,DNM1L,0.777595121
MmuSTS.3503.1.S1_at,"gi:60543148  DEF=ART3_8212 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA8212, sequence tagged site  REP_ORG=M. mulatta",NP_001123489,MmuSTS.3503.1.S1_at,ART3,0.77594228
MmugDNA.39884.1.S1_at,"gDNA.Hs.143134.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 238617_at CDNA FLJ38181 fis, clone FCBBF1000125  REP_ORG=M. mulatta",gDNA.Hs.143134.0,MmugDNA.39884.1.S1_at,,0.774741288
SIPA1L1,signal-induced proliferation-associated 1 like 1,XM_001084201,MmugDNA.12521.1.S1_at,SIPA1L1,0.772979453
MmugDNA.32855.1.S1_at,gDNA.Hs.28273.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228742_at Full length insert cDNA clone YQ54B06  REP_ORG=M. mulatta,gDNA.Hs.28273.0,MmugDNA.32855.1.S1_at,,0.772210382
LOC711350,similar to Ras protein-specific guanine nucleotide-releasing factor 2,XR_013846,MmugDNA.12625.1.S1_at,RASGRF2,0.769461405
SH2D4B,SH2 domain containing 4B,XM_001087487,MmuSTS.1796.1.S1_at,SH2D4B,0.769302883
LOC702798,similar to Ras-related GTP binding D,XM_001091094,MmugDNA.1990.1.S1_s_at,RRAGD,0.768677789
LOC710559,"similar to diacylglycerol kinase, alpha 80kDa",XM_001112067,MmuSTS.4223.1.S1_at,DGKA,0.768141835
MmugDNA.28241.1.S1_at,gDNA.Hs.91954.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229092_at Full length insert cDNA clone YX37E06  REP_ORG=M. mulatta,gDNA.Hs.91954.0,MmugDNA.28241.1.S1_at,,0.767492667
MmugDNA.29874.1.S1_at,gDNA.Hs.164225.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241560_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.164225.0,MmugDNA.29874.1.S1_at,,0.766933999
MEPE,matrix extracellular phosphoglycoprotein,XM_001098930,MmugDNA.17036.1.S1_at,MEPE,0.763674881
SLC31A1,"solute carrier family 31 (copper transporters), member 1",XM_001103110,MmugDNA.8308.1.S1_at,SLC31A1,0.763084045
LOC699977,similar to adipocyte enhancer binding protein 1 precursor,XR_011326,MmugDNA.38818.1.S1_at,AEBP1,0.762506396
LOC708755,similar to ankyrin repeat domain 43,XM_001104907,MmugDNA.34698.1.S1_at,LOC134548,0.761599656
MmugDNA.40498.1.S1_at,"gDNA.Hs.49943.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229641_at Transcribed locus, moderately similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]  REP_ORG=M. mulatta",gDNA.Hs.49943.0,MmugDNA.40498.1.S1_at,,0.761023518
CCBE1,collagen and calcium binding EGF domains 1,XM_001090495,MmugDNA.9199.1.S1_at,CCBE1,0.758629132
ITPKA,"inositol 1,4,5-trisphosphate 3-kinase A",XM_001099176,MmugDNA.21150.1.S1_at,ITPKA,0.756273177
LOC715357,similar to amisyn,XM_001105530,MmugDNA.25927.1.S1_at,STXBP6,0.754120943
NUP93,nucleoporin 93kDa,XR_012158,MmugDNA.33817.1.S1_at,NUP93,0.750966753
LOC714164,similar to plasticity related gene 3,XM_001111474,MmuSTS.2047.1.S1_at,PRG-,0.749736673
LOC696337,similar to UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13,XR_010118,MmugDNA.22581.1.S1_at,GALNT13,0.749092172
TYW1,tRNA-yW synthesizing protein 1 homolog (S. cerevisiae),XM_001091335,MmunewRS.743.1.S1_at,TYW1,0.749031458
ANXA11,annexin A11,XM_001096044,MmuSTS.1360.1.S1_at,ANXA11,0.747117357
MmugDNA.38060.1.S1_at,"gDNA.Hs.21758.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 236902_at CDNA FLJ37214 fis, clone BRALZ2008484  REP_ORG=M. mulatta",gDNA.Hs.21758.0,MmugDNA.38060.1.S1_at,,0.745530554
MmugDNA.7729.1.S1_at,gDNA.g183115  FEA=U133PSR  GEN=IGFBP3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 210095_s_at insulin-like growth factor binding protein 3  REP_ORG=M. mulatta,CK230365,MmugDNA.7729.1.S1_at,IGFBP3,0.744377709
GRIA2,"glutamate receptor, ionotropic, AMPA 2",XM_001095129,MmugDNA.27764.1.S1_at,GRIA2,0.742736323
SLC10A4,"solute carrier family 10 (sodium/bile acid cotransporter family), member 4",XM_001103529,MmunewRS.222.1.S1_at,SLC10A4,0.741797304
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",XM_001087841,MmugDNA.29582.1.S1_at,NTRK3,0.741107755
VIP,vasoactive intestinal peptide,XM_001096218,MmuSTS.2583.1.S1_at,VIP,0.738841815
CDH9,"cadherin 9, type 2",XM_001083744,MmuSTS.3398.1.S1_at,CDH9,0.738690305
MmugDNA.1264.1.S1_at,"gDNA.Hs2.403814.4.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1562821_a_at M41 mRNA, complete sequence; alternatively spliced  REP_ORG=M. mulatta",gDNA.Hs2.403814.4,MmugDNA.1264.1.S1_at,,0.735825607
LOC705977,similar to echinoderm microtubule associated protein like 1 isoform b,XM_001103885,MmugDNA.39618.1.S1_at,EML1,0.735100709
KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,XM_001089071,MmugDNA.20574.1.S1_at,KIT,0.734348926
TNFRSF25,"tumor necrosis factor receptor superfamily, member 25",XM_001092990,MmugDNA.5862.1.S1_s_at,TNFRSF25,0.734019511
SIPA1L1,signal-induced proliferation-associated 1 like 1,XM_001084201,MmuSTS.3336.1.S1_at,SIPA1L1,0.733204809
CHRDL2,chordin-like 2,XM_001082109,MmugDNA.36924.1.S1_at,CHRDL2,0.732828973
LOC711994,"similar to actinin, alpha 1",XR_013562,MmugDNA.19204.1.S1_at,ACTN1,0.73209501
HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),XM_001087351,MmugDNA.18778.1.S1_at,HPGD,0.731810776
LOC712838,"similar to potassium voltage-gated channel, subfamily G, member 3 isoform 1",XM_001110610,MmugDNA.17758.1.S1_at,KCNG3,0.730085979
RCN1,gb:CN644706  DB_XREF=gi:47158149  DB_XREF=ILLUMIGEN_MCQ_10747  CLONE=IBIUW:9522  TID=Mmu.10443.1  CNT=6  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN644706,Mmu.10443.1.S1_at,RCN1,0.730044333
LOC717153,similar to CCAAT/enhancer-binding protein alpha (C/EBP alpha),XM_001108401,MmuSTS.3401.1.S1_at,CEBPA,0.730025577
LOC716572,Similar to cyclin K,DQ148238,MmugDNA.22452.1.S1_at,C14orf65,0.726746637
LOC710948,similar to wolframin,XM_001092465,MmuSTS.1840.1.S1_at,WFS1,0.726121296
LOC718667,"newRS.gi:38348293  NOTE=Orthologous to Human RefSeq terminal exon  DEF=Orthologous to gi:38348293 Homo sapiens FLJ44299 protein (FLJ44299), mRNA.  GEN=FLJ44299  PROD=FLJ44299 protein  REP_ORG=M. mulatta",XP_001153113,MmunewRS.1038.1.S1_at,FLJ44299,0.725757057
LOC697898,similar to CTD small phosphatase-like protein,XM_001086442,MmugDNA.31559.1.S1_at,CTDSPL,0.725516917
PTHLH,parathyroid hormone-like hormone,XM_001104176,MmugDNA.10839.1.S1_at,PTHLH,0.724528381
MmugDNA.4732.1.S1_at,"gDNA.Hs.80206.1.A1  FEA=U133PSR  GEN=PRKCA  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213093_at protein kinase C, alpha  REP_ORG=M. mulatta",gDNA.Hs.80206.1,MmugDNA.4732.1.S1_at,PRKCA,0.723214575
LOC712674,similar to phosphodiesterase 8B isoform 1,XM_001101740,MmuSTS.1082.1.S1_at,PDE8B,0.722677703
HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),XM_001087351,MmugDNA.18778.1.S1_s_at,HPGD,0.721241593
KCTD16,potassium channel tetramerisation domain containing 16,XM_001098121,MmuSTS.1599.1.S1_at,KCTD16,0.720375891
SMAD3,SMAD family member 3,XM_001111262,MmugDNA.31647.1.S1_at,MADH3,0.717887986
LAMB1,"laminin, beta 1",XM_001090393,MmugDNA.22537.1.S1_s_at,LAMB1,0.717274407
LOC708626,similar to somatostatin preproprotein,XM_001103516,MmugDNA.7526.1.S1_at,,0.716208368
CDH22,similar to cadherin 22 precursor,XM_001104171,MmugDNA.9740.1.S1_at,CDH22,0.71555035
DLX1,distal-less homeobox 1,XM_001085685,MmuSTS.4067.1.S1_at,DLX1,0.715091182
LOC718433,chromosome 20 open reading frame 103,XM_001116051,MmugDNA.32866.1.S1_at,C20orf103,0.714614133
IL6R,interleukin 6 receptor,XM_001114404,MmugDNA.42225.1.S1_at,IL6R,0.714270488
OLFM4,olfactomedin 4,XM_001085344,MmuSTS.4189.1.S1_s_at,OLFM4,0.713958628
MmugDNA.18002.1.S1_at,gDNA.Hs.34969.0.A1  FEA=U133PSR  GEN=FLJ34048  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230882_at hypothetical protein FLJ34048  REP_ORG=M. mulatta,gDNA.Hs.34969.0,MmugDNA.18002.1.S1_at,FLJ34048,0.713939933
MmugDNA.33527.1.S1_s_at,"gDNA.Hs.105791.1.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222312_s_at CDNA clone IMAGE:6186815, partial cds  REP_ORG=M. mulatta",gDNA.Hs.105791.1,MmugDNA.33527.1.S1_s_at,,0.71188465
TBCEL,tubulin folding cofactor E-like,XM_001107262,MmugDNA.31978.1.S1_at,,0.711774457
MmugDNA.33767.1.S1_at,"gDNA.Hs.22902.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230846_at CDNA FLJ42010 fis, clone SPLEN2032036  REP_ORG=M. mulatta",gDNA.Hs.22902.0,MmugDNA.33767.1.S1_at,,0.711587108
LOC712076,similar to small inducible cytokine B14 precursor,XM_001110657,MmugDNA.5740.1.S1_s_at,CXCL14,0.709719138
MmugDNA.1647.1.S1_at,gDNA.Hs.171965.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243907_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.171965.0,MmugDNA.1647.1.S1_at,,0.709485615
THBD,thrombomodulin,XM_001095416,MmuSTS.4002.1.S1_at,THBD,0.707814729
MmugDNA.30983.1.S1_at,gDNA.Hs.154145.3.A1  FEA=U133PSR  GEN=CHMP1.5  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213924_at CHMP1.5 protein  REP_ORG=M. mulatta,gDNA.Hs.154145.3,MmugDNA.30983.1.S1_at,CHMP1.5,0.707261728
MmugDNA.15584.1.S1_at,gDNA.Hs.145303.0.A1  FEA=U133PSR  GEN=LOC440829  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 244467_at LOC440829  REP_ORG=M. mulatta,XP_945572,MmugDNA.15584.1.S1_at,LOC440829,0.706412158
LOC710786,similar to Protein C10orf6,XM_001108956,MmugDNA.4685.1.S1_at,C10orf6,0.705174103
LOC721654,similar to peroxidasin,XR_014639,MmuSTS.2278.1.S1_at,D2S448,0.704903546
LOC713324,similar to erythrocyte membrane protein band 4.1 like 4B isoform 2,XM_001102639,MmugDNA.17300.1.S1_s_at,EPB41L4B,0.704847031
LOC712610,similar to ETS domain-containing protein Elk-1,XR_012663,MmuSTS.4133.1.S1_at,ELK1,0.704371265
MmugDNA.22582.1.S1_at,gDNA.g5360214  FEA=U133PSR  GEN=GPC5  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 207174_at glypican 5  REP_ORG=M. mulatta,gDNA,MmugDNA.22582.1.S1_at,GPC5,0.703999088
IP6K2,inositol hexaphosphate kinase 2,XR_013990,MmunewRS.534.1.S1_at,IP6K2,0.703939259
PDCD4,programmed cell death 4 (neoplastic transformation inhibitor),XM_001086666,MmugDNA.4455.1.S1_at,PDCD4,0.703771149
PCDH18,similar to protocadherin 18 precursor,XM_001086925,MmuSTS.2009.1.S1_at,PCDH18,0.703259065
MmugDNA.20670.1.S1_s_at,gDNA.Hs.93872.1.S1  FEA=U133PSR  GEN=PIP3AP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225232_at phosphatidylinositol-3-phosphate associated protein  REP_ORG=M. mulatta,CN644319,MmugDNA.20670.1.S1_s_at,PIP3AP,0.701998212
PITPNM2,"phosphatidylinositol transfer protein, membrane-associated 2",XM_001100098,MmugDNA.22813.1.S1_at,PITPNM2,0.701206194
MmugDNA.16626.1.S1_at,gDNA.Hs.201500.0.S1  FEA=U133PSR  GEN=KIAA1509  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227228_s_at KIAA1509  REP_ORG=M. mulatta,gDNA.Hs.201500.0,MmugDNA.16626.1.S1_at,KIAA1509,0.700217228
MmugDNA.13552.1.S1_at,"gDNA.Hs.160366.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243856_at Transcribed locus, strongly similar to XP_528935.1 similar to McLeod syndrome-associated, Kell blood group protein; membrane transport protein [Pan troglodytes]  REP_ORG=M. mulatta",gDNA.Hs.160366.0,MmugDNA.13552.1.S1_at,,0.70006622
LOC712434,similar to Kv channel interacting protein 2 isoform 6,XM_001111300,MmuSTS.1530.1.S1_at,KCNIP2,0.699620243
LOC699034,similar to vestigial like 4,XM_001087506,MmugDNA.38786.1.S1_at,,0.698984647
LOC718418,similar to phospholipase C beta 4 isoform a,XR_014465,MmugDNA.2360.1.S1_at,PLCB4,0.698727184
LOC712617,"similar to regulator of G-protein signalling 2, 24kDa",XM_001112788,MmuSTS.3133.1.S1_at,,0.698157038
ITGA4,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",XM_001100929,MmugDNA.15043.1.S1_at,ITGA4,0.697902981
MmuSTS.1475.1.S1_at,"gi:47776863  DEF=MAPK14_184 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA184, sequence tagged site.  GEN=MAPK14  PROD=mitogen-activated protein kinase 14  REP_ORG=M. mulatta",DV770946,MmuSTS.1475.1.S1_at,MAPK14,0.697452978
ITGA6,"integrin, alpha 6",XM_001086200,MmugDNA.20521.1.S1_at,ITGA6,0.697412285
LOC698063,"similar to CG6184-PA, isoform A",XM_001087184,MmugDNA.26436.1.S1_at,KIAA1467,0.696257247
MmugDNA.7521.1.S1_at,gDNA.g12053104  FEA=U133PSR  GEN=ENC2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 210307_s_at BTB POZ KELCH domain protein  REP_ORG=M. mulatta,gDNA,MmugDNA.7521.1.S1_at,ENC2,0.695801738
MmugDNA.39611.1.S1_at,gDNA.Hs.241175.0.A1  FEA=U133PSR  GEN=DOCK2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235236_at Dedicator of cytokinesis 2  REP_ORG=M. mulatta,gDNA.Hs.241175.0,MmugDNA.39611.1.S1_at,DOCK2,0.694894851
LOC717944,similar to CG17593-PA,XM_001116319,MmugDNA.15537.1.S1_at,GK001,0.692352163
MmugDNA.5294.1.S1_at,gDNA.Hs.75110.1.S1  FEA=U133PSR  GEN=CNR1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213436_at cannabinoid receptor 1 (brain)  REP_ORG=M. mulatta,gDNA.Hs.75110.1,MmugDNA.5294.1.S1_at,CNR1,0.691711095
CHRNA7,"cholinergic receptor, nicotinic, alpha 7",AF486623,MmugDNA.41481.1.S1_at,CHRNA7,0.691324464
IGF1,insulin-like growth factor 1,XM_001094016,MmugDNA.4061.1.S1_at,IGF1,0.690246666
MmugDNA.19071.1.S1_at,gDNA.Hs.8087.3.A1  FEA=U133PSR  GEN=LOC283070  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226382_at hypothetical protein LOC283070  REP_ORG=M. mulatta,DQ148247,MmugDNA.19071.1.S1_at,LOC283070,0.689328441
MmugDNA.13917.1.S1_at,"gDNA.Hs.25522.0.A1  FEA=U133PSR  GEN=ABLIM2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228132_at actin binding LIM protein family, member 2  REP_ORG=M. mulatta",gDNA.Hs.25522.0,MmugDNA.13917.1.S1_at,ABLIM2,0.689196759
LOC696463,"similar to H2A histone family, member O",XM_001084365,MmuSTS.4088.1.S1_at,DUSP9,0.689132364
MmugDNA.42756.1.S1_at,gDNA.Hs.110373.1.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230130_at  REP_ORG=M. mulatta,gDNA.Hs.110373.1,MmugDNA.42756.1.S1_at,,0.688316878
LOC715374,"similar to protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b",XM_001113078,MmugDNA.25494.1.S1_at,PTPLB,0.687714084
LOC715965,similar to actin-related protein 3-beta isoform 1,XM_001105571,MmugDNA.7349.1.S1_at,ARP3BETA,0.687549193
DIAPH2,diaphanous homolog 2 (Drosophila),XM_001087983,MmuSTS.60.1.S1_at,DIAPH2,0.685959777
FAM84A,"family with sequence similarity 84, member A",XM_001090187,MmugDNA.21019.1.S1_at,FAM84A,0.685952642
MmugDNA.14289.1.S1_at,gDNA.Hs.289088.1.A2  FEA=U133PSR  GEN=KCTD1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226245_at potassium channel tetramerisation domain containing 1  REP_ORG=M. mulatta,CN804420,MmugDNA.14289.1.S1_at,KCTD1,0.685477071
LOC716200,similar to Disabled homolog 1,XM_001114475,MmugDNA.11987.1.S1_at,,0.684278526
RGS20,regulator of G-protein signaling 20,XM_001082537,MmuSTS.3132.1.S1_at,RGS20,0.683333211
MmugDNA.28940.1.S1_at,"gDNA.Hs.7154.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230403_at CDNA FLJ45905 fis, clone OCBBF3026576  REP_ORG=M. mulatta",gDNA.Hs.7154.0,MmugDNA.28940.1.S1_at,,0.683027125
ZNF608,zinc finger protein 608,XM_001094670,MmugDNA.30581.1.S1_at,ZNF608,0.682906481
KITLG,KIT ligand,XM_001101381,MmugDNA.21283.1.S1_at,KITLG,0.681939741
PDCD4,programmed cell death 4 (neoplastic transformation inhibitor),XM_001086666,MmuSTS.2020.1.S1_at,PDCD4,0.68129626
JAG1,jagged 1,XM_001116216,MmugDNA.33524.1.S1_at,JAG1,0.680193065
LOC696649,similar to Proenkephalin A precursor,XR_010292,MmuSTS.2038.1.S1_at,PENK,0.679098756
WIF1,Wnt inhibitory factor 1,XM_001116962,MmuSTS.4753.1.S1_at,WIF1,0.678222402
LOC711994,"similar to actinin, alpha 1",XR_013562,MmugDNA.10750.1.S1_s_at,ACTN1,0.677525659
MAPK4,mitogen-activated protein kinase 4,XM_001094147,MmugDNA.19347.1.S1_at,MAPK4,0.67742989
IGF1,insulin-like growth factor 1,XM_001094016,MmuSTS.628.1.S1_at,IGF1,0.676576946
SFXN1,sideroflexin 1,XM_001082798,MmugDNA.33473.1.S1_at,,0.675857329
STAT5A,signal transducer and activator of transcription 5A,XM_001109557,MmuSTS.3935.1.S1_s_at,STAT5A,0.674106859
